time_sec,y_cam,z_cam,yz_norm,camera_angle_deg
1764544225.411,0.0632,0.9660,0.9681,49.22
1764544250.903,0.0312,0.8690,0.8696,66.62
1764544284.615,-0.1053,1.1500,1.1548,49.39
1764544341.219,-0.0584,1.1720,1.1735,41.48
1764544359.517,-0.0155,1.4180,1.4181,34.37
1764544381.509,0.0392,1.6590,1.6595,26.89
1764544684.522,0.0833,2.0720,2.0737,19.60
1764544710.692,0.1697,2.9160,2.9209,12.57
1764545765.611,0.0738,0.7840,0.7875,65.48
1766557846.249,-0.2242,0.9130,0.9401,66.01
1766560846.158,-0.0486,0.8530,0.8544,64.95
1766560852.141,0.1589,0.7460,0.7627,64.95
1766560858.163,-0.1385,0.8980,0.9086,64.95
1766560886.561,-0.3020,1.1150,1.1552,55.63
1766560913.964,-0.3923,1.3860,1.4405,46.76
1766560936.459,-0.4687,1.8700,1.9278,38.23
1766560952.864,-0.4213,2.3580,2.3953,30.15
